SAO_sign,uuid,A.base,D.info_state,D.info_county,D.info_settlement_other,longitude,latitude,NOT_in_tool,NOT_in_tool_and_change spelling,IN_tool_spelling_exact_match,IN_tool_adjust_entry_spelling,if_spelling_error_correct_spelling
,1c9ed01d-4fee-4d25-94f0-24268027a1a6,akobo,UpperNile,Ulang,Kier,,,,,,,
,5addc293-87cb-4d9e-8be2-5399f77cbd03,aweil,NorthernBahrelGhazal,AweilEast,Miir- pien,,,,,,,
,c93f1f6c-f393-4989-a4db-7782d3532891,aweil,NorthernBahrelGhazal,AweilCentre,Rum-tiit,,,,,,,
,69dc2d6a-1694-40d7-ad07-bb2b4db9154b,aweil,NorthernBahrelGhazal,AweilNorth,Rum mading,,,,,,,
,b8095877-0f31-4bd0-8f3d-e1a67ea0f6e6,aweil,NorthernBahrelGhazal,AweilEast,Wun Abuk,,,,,,,
,c85a4f67-e524-4f3d-852b-1a828e235b26,aweil,NorthernBahrelGhazal,AweilNorth,Wun Lang,,,,,,,
,68cde0a7-e526-43b0-933b-9ba8dbaa3f34,bentiu,Unity,Leer,Dhorgoyni,,,,,,,
,df60ede4-8b24-4fee-a736-28e3d2571836,bentiu,Unity,Guit,Kaiyoang,,,,,,,
,93053c53-7e7f-496c-af11-83284934946a,bentiu,Unity,Koch,Layak,,,,,,,
,b04e6ab8-0761-4242-8c18-a4f1f3f3ab23,bor_town,Jonglei,TwicEast,Chuetakuet,,,,,,,
,9489f5b9-8615-4431-92bb-f565b6dc6da0,juba,CentralEquatoria,Yei,Hai-Tip,,,,,,,
,9a6275ac-1e66-4bb3-ae31-82a3f4cc4a79,juba,CentralEquatoria,Juba,Joppari,,,,,,,
,b0e0b7b7-7d90-430b-8f8e-924701fb5239,juba,EasternEquatoria,Magwi,Masindi,,,,,,,
,60301ed7-d432-4ae9-b6fe-854b7aab1e25,kapoeta,EasternEquatoria,KapoetaEast,Hao,,,,,,,
,45715a01-f5ca-4a3a-a0ee-16dd9824f551,kapoeta,EasternEquatoria,KapoetaEast,Kanachidik,,,,,,,
,8dcfe61c-211b-45d1-8a7f-ac64cb0b3af8,kapoeta,EasternEquatoria,Budi,Lohithor,,,,,,,
,f176fe38-8617-4902-9085-5efb202b7c41,kapoeta,EasternEquatoria,KapoetaNorth,Lowoyapuru,,,,,,,
,60684b1c-de31-4f83-a1d7-a58b110dfeb4,kapoeta,EasternEquatoria,Budi,Mission,,,,,,,
,21318812-c123-4ab4-b83b-baee66e37fd4,kapoeta,EasternEquatoria,KapoetaEast,Nangolechuma,,,,,,,
,a5338926-5842-492e-9644-4146864ad110,malakal,UpperNile,Malakal,Akoka,,,,,,,
,9e4ba524-c256-4957-8169-0e9c9f68b7b4,malakal,UpperNile,Manyo,Thuro gwang,,,,,,,
